question_1,question_2
Seberapa dekat kita (atau tidak menutup) sekarang ke Perang Dunia 3?,adalah perang dunia akan terjadi?
Bagaimana saya memulai perusahaan e-commerce? Dan berapa banyak modal yang dibutuhkan?,Bagaimana saya memulai perusahaan e-commerce?
Apa cara terbaik untuk menemukan investor yang baik?,Apa cara terbaik untuk menemukan investor yang baik?
Apa itu energi termal dan bagaimana dihitung?,Bagaimana hasil energi termal dan bagaimana dihitung?
Berapa lama ganja yang tertelan muncul pada tes obat urin?,"Jika saya makan cookie pot, berapa lama sampai saya bisa lulus tes urin?"
Apa kelebihan dan kekurangan larangan 500 dan 1000 catatan di India?,Apa pro dan kontra menghentikan Rs. 500 dan Rs.1000 catatan mata uang di India?
Bagaimana seseorang bisa mendapatkan lebih banyak teman?,Bagaimana cara membuat lebih banyak teman? Bagaimana saya?
Mengapa orang jatuh cinta?,Bagaimana orang jatuh cinta?
Apakah layak dilakukan MBA tanpa pengalaman kerja?,Apakah layak melakukan MBA tanpa pengalaman kerja?
Bagaimana saya mempersiapkan CA CPT bersama dengan 12?,Bagaimana saya bisa mempersiapkan CA CPT 2017?
Di mana saya bisa menyewa seorang gadis panggilan di Bangalore?,Di mana saya bisa memanggil gadis-gadis di Bangalore?
"Apa Sahara, dan bagaimana rata-rata suhu di sana dibandingkan dengan yang ada di Antartika?","Apa itu Sahara, dan bagaimana rata-rata suhu di sana dibandingkan dengan yang ada di Gurun Namib?"
Yang merupakan situs paling berguna untuk belajar Ruby on Rails?,Apa saja kursus online yang bagus untuk Ruby on Rails?
Apa saja ide bisnis kecil?,Gagasan untuk bisnis kecil?
Apa itu Packers and Movers?,Apa arti dari Packers and Movers?
Apa kondisi kesehatan cm jayalalitha?,Apa kondisi kesehatan jayalalitha?
Bagaimana saya bisa menjadi karismatik seperti Bill Clinton?,Bagaimana seseorang menjadi karismatik seperti Bill Clinton?
Bagaimana DMT membandingkan dengan LSD?,Bisakah Anda membandingkan perjalanan DMT ke perjalanan LSD?
Yang merupakan bahasa hidup tertua di dunia? Bagaimana bisa bertahan?,Apa bahasa tertua di dunia?
Yang merupakan video terbaik yang pernah Anda lihat?,yang merupakan video paling menakjubkan yang pernah Anda lihat?
Bagaimana Anda menyiram cairan transmisi?,Bagaimana Anda bisa menyiram cairan transmisi Anda?
"Terlepas dari semua sejarah, keanekaragaman dalam budaya, arsitektur, bahasa dll., Mengapa bukan India tujuan wisata teratas di dunia?",Mengapa India bukan tujuan wisata besar meskipun memiliki peradaban dan monumen berusia 5000 tahun?
Mengapa setiap pertanyaan tentang Quora perlu perbaikan?,Mengapa beberapa pertanyaan di Quora ditandai sebagai perlu perbaikan ketika mereka tidak perlu perbaikan?
Smartphone mana yang memiliki kamera terbaik?,yang merupakan ponsel kamera terbaik?
Apa itu Deuranting? Bagaimana itu digunakan dalam kimia?,"Apa itu ""decanting"" dalam kimia?"
Mengapa orang mengajukan pertanyaan yang jawabannya dapat dengan mudah ditemukan di internet?,Mengapa orang menggunakan Quora ketika mereka dapat dengan mudah menemukan jawaban dalam pencarian Google cepat?
Bagaimana cara menemukan semua akun Gmail saya?,Bagaimana cara menemukan akun Gmail lama saya kembali?
Bagaimana saya menumbuhkan rambut saya lebih tebal secara alami?,Bagaimana saya bisa menumbuhkan rambut saya lebih tebal?
Apa lelucon lucu terbaik yang pernah Anda dengar?,Apa lelucon terbaik yang pernah Anda dengar?
Apa momen paling memalukan di depan pacar Anda?,Apa kisahmu yang paling memalukan?
Apa yang dipikirkan orang Delhi tentang Kejriwal?,Apa yang orang pikirkan tentang Tuan Arvind Kejriwal dan AAP-nya?
Bagaimana saya bisa menjadi penutur bahasa Inggris asli?,Bagaimana cara meningkatkan bahasa Inggris asli saya secara keseluruhan?
Apakah mungkin untuk jatuh cinta dengan lebih dari satu wanita / gadis dalam periode waktu yang sama?,Bisakah seseorang jatuh cinta dengan dua orang pada saat yang bersamaan?
Bagaimana saya bisa memulihkan email lama saya dari akun Gmail?,Bagaimana cara memulihkan email yang dihapus di akun Gmail saya?
Saya baru saja memulai persiapan saya untuk UpsSC CSE. Bagaimana saya melakukannya?,Saya ingin mulai mempersiapkan CSE UPSSC. Saya sudah mulai dengan NCERTS. Akankah seseorang tolong jelaskan rencana terperinci tentang bagaimana saya harus maju?
Bagaimana bisa menghasilkan uang secara online?,Apa saja cara mudah untuk melakukan uang ekstra online?
Saya tidak cenderung musik. Bagaimana saya bisa dengan mudah belajar bermain gitar?,Bagaimana saya bisa belajar bermain gitar?
Apa pertanyaan wawancara terbaik yang pernah ditanyakan?,Apa pertanyaan wawancara terbaik untuk ditanyakan?
Apa tindakan pencegahan keselamatan untuk menangani senapan yang diusulkan oleh NRA di North Carolina?,Apa tindakan pencegahan keselamatan tentang penanganan senapan yang diusulkan oleh NRA di Washington?
Apa cara terbaik untuk menghentikan kekhawatiran dan mulai hidup?,Bagaimana seharusnya seseorang berhenti mengkhawatirkan masa depan dan mulai hidup bahagia?
Bagaimana cara mengurangi lemak perut dalam waktu minimal?,Bagaimana saya bisa mengurangi lemak perut dan berat keseluruhan?
"Jika algoritma membuat komputer pintar, apa yang membuat manusia pintar atau kata lain, cerdas?",Apa yang membuat manusia begitu cerdas?
Bagaimana catatan mata uang India baru Rs 500 dan Rs 2000 akan membantu dalam membatasi korupsi?,Bagaimana akan mendemonetisasi 500 dan 1000 Rupee mencatat dan memperkenalkan catatan rupee baru 2000 membantu mengekang uang hitam dan korupsi?
Bisakah Anda membeli kartu hadiah dengan kartu kredit?,Bisakah Anda membeli kartu hadiah dengan kartu kredit?
Bagaimana Anda membuat lubang hitam menghilang?,Apa saja cara di mana lubang hitam bisa hilang?
Apakah langkah ini melarang nota 500 & 1000 rupee kan?,Apa pandangan Anda tentang keputusan PM MODI tentang penghentian 500 & 1000 RS Notes?
Di mana seseorang dapat menemukan proyek Java sederhana untuk pemula?,Bagaimana cara memulai proyek-proyek kecil menggunakan Java untuk pemula?
Apa artinya ketika anak kucing Anda menguleni Anda?,Mengapa anak kucing saya menguleni saya?
Bagaimana Donald Trump memenangkan Presidensi?,Mengapa Trump menang?
Bagaimana kenangan disimpan?,Bagaimana kenangan disimpan dalam tubuh?
Mengapa saya selalu merasa mengantuk?,Mengapa ada yang merasa sangat mengantuk?
Apa reaksi orang-orang di kantor memegang uang hitam setelah larangan Rs. 500 / Rs. 1000 catatan?,Bagaimana orang dengan menghasilkan uang hitam besar dengan situasi 500-1000 Rupee Notes?
Mengapa kapasitas panas tertentu penting dan mengapa berbeda untuk zat yang berbeda?,Mengapa bahan yang berbeda memiliki kapasitas panas spesifik yang berbeda?
Yang merupakan pilihan yang lebih baik: MacBook Pro 2016 atau 2015?,haruskah saya membeli MacBook 2016 atau satu dari 2015?
Mengapa saya tidak bisa mengerti orang?,Kenapa aku tidak bisa sepenuhnya memahami orang lain?
Bagaimana saya bisa meretas kata sandi Wi-Fi seseorang?,Bisakah saya meretas Wi-Fi?
Apa tren mode terbaru?,Apa tren mode terbaru?
Kenapa Quora menandai semua pertanyaanku sebagai perbaikan yang diperlukan?,"Mengapa Quora terus menandai pertanyaan saya sebagai ""perlu perbaikan""?"
Bagaimana saya bisa menjadi penutur asli Inggris?,Bagaimana cara berbicara bahasa Inggris sebagai penutur asli?
Bagaimana saya bisa meningkatkan pengucapan bahasa Inggris saya?,Bagaimana saya akan meningkatkan bahasa Inggris yang diucapkan?
Di mana menurut Anda adalah tempat terbaik di dunia untuk hidup?,yang merupakan tempat terbaik untuk hidup di dunia ini?
Yang mana laptop terbaik yang tersedia di India dalam anggaran 60k?,yang merupakan laptop terbaik di bawah RS60000?
Apa perbedaan antara massa molekuler dan massa molar? Apa kesamaan mereka?,Apa persamaan dan perbedaan antara massa molekuler dan massa molar?
Mengapa permen taffy air asin Amerika diimpor di Jepang?,Mengapa taffy air asin diimpor di Jepang?
Apakah Evolusi Benar?,Apa yang termasuk bukti evolusi?
Apa aplikasi termodinamika dalam industri susu?,Apa saja aplikasi termodinamika dalam industri susu?
Apa saja tempat menarik untuk dikunjungi di Chennai?,Apa tempat terbaik di Chennai?
Apakah pra nikah seks secara moral bukan?,adalah Seks pra marital dosa?
Apakah ada manfaat kesehatan untuk minum urin sendiri?,Apa pendapatmu meminum urin sendiri?
Apa pro dan kontra dari homeschooling?,Apa pro dan kontra untuk menjadi homeschooled?
Apa alat utama untuk departemen kualitas di perusahaan?,Apa alat utama Departemen Kualitas di sebuah perusahaan?
Berapa lama bisnis dianggap sebagai startup?,"Berapa lama perusahaan dianggap sebagai startup? Apakah itu waktu, pendapatan atau ukuran?"
Mengapa Tuhan mengirim Yesus ke Islam?,Mengapa Yesus dikirim oleh Allah dalam Islam?
Apa artinya hukum tarik-undang?,Apa hukum daya tarik?
"Jika Anda membunuh seseorang, siapa itu, dan mengapa?","Jika Anda bisa membunuh satu orang, siapa itu?"
Apakah pendidikan online masa depan pendidikan?,sedang belajar di masa depan pendidikan?
Mengapa Anda secara khusus memilih Donald Trump?,Apa alasan utama mengapa Anda memilih Donald Trump?
Apa puisi atau garis puisi terbaik yang pernah Anda tulis?,Apa itu puisi terbaik yang telah Anda tulis?
Apakah kebenaran politik dinilai lebih dari kebenaran faktual di Quora?,adalah kebenaran politik yang lebih penting untuk Quora daripada mengatakan kebenaran dan menemukan solusi?
Bisakah saya hamil setelah 3 hari dari haid saya?,Bisakah telur dibuahi selama atau setelah suatu periode?
Apa yang membuat orang yang menghina berpikir bahwa mereka memahami dualitas seseorang?,Apa yang membuat orang berpikir?
Bagaimana saya menjadi lebih dewasa?,Apa cara terbaik untuk menjadi lebih dewasa?
Bagaimana Anda menghasilkan uang dengan Quora?,Apakah mungkin menghasilkan uang sebagai pengguna di Quora?
Apa kemungkinan implikasi dari demonetisasi 500 dan 1000 rupee catatan?,Apa pandangan Anda tentang Demonetisasi 500 dan 1000 Rupee Catatan oleh Pemerintah Modi?
"Apa yang dimaksud dengan orang biru kecil dengan ""+"" di sebelah jawaban dalam Quora?",Apa itu siluet biru kecil dengan + di sebelah jawaban?
Apakah MacBook Pro 2016 terlalu mahal atau apakah itu layak?,adalah MacBook Pro 2016 terlalu mahal?
Bagaimana saya berpikir seperti Sherlock Holmes?,Apakah benar-benar mungkin untuk berpikir seperti Sherlock Holmes?
Bagaimana cara melarikan diri dengan seseorang yang telah Anda bunuh?,Bagaimana Anda lolos dengan pembunuhan?
Mengapa hal menyebalkan?,Mengapa hal sangat mengisap?
Mengapa masakan Kyrgyzstan diremehkan di Amerika?,Mengapa Krygnzcuisine diremehkan di Amerika?
Mengapa data bergerak maju jika kita mengubah subnet mask dari alamat IP yang sama?,Mengapa data mengirim dari satu sisi sisi lain jika kita mengubah subnet mask tetapi tidak mengubah alamat IP?
Yang merupakan buku terbaik untuk mempersiapkan ujian IAS?,Buku mana yang terbaik untuk persiapan Prelims IAS?
Bagaimana rasanya terbang dalam concorde?,Seperti apa rasanya bepergian dengan Concorde?
Apa tugas fundamental warga India?,Apa itu hak dan tugas mendasar yang harus saya ketahui sebagai warga negara India?
Pukul yang aneh dan jelaskan alasanmu: a) Jane Austen b) George Eliot C) Charlotte Bronte d) Homas Hardy?,Pukul yang aneh dan jelaskan alasanmu: a) Jane Austen b) George Eliot C) Charlotte Bronte d) Thomas Hardy?
Bagaimana cara meningkatkan keterampilan menulis bahasa Inggris saya?,Bagaimana cara meningkatkan keterampilan menulis bahasa Inggris saya?
Apakah Anda mendukung Donald Trump atau Hillary Clinton? Mengapa?,Siapa yang akan Anda pilih pemilihan mendatang: Donald Trump atau Hillary Clinton?
Mengapa pemerintah India tidak mencetak uang kertas dengan kode QR sebagai tindakan untuk menghindari mata uang palsu dan untuk memerangi dengan uang hitam?,Mengapa Pemerintah India mencetak uang kertas dengan kode batang di atasnya sebagai ukuran untuk menghindari mata uang palsu dan untuk melawan uang hitam?
Mana situs web terbaik untuk mengunduh buku akademik secara gratis?,yang merupakan situs web terbaik untuk mengunduh buku akademik secara gratis?
Apa arti peringkat mesin listrik?,Apa yang dinilai rata-rata dalam mesin listrik?
Apa yang paling menghemat pernikahan Anda?,Apa yang menyelamatkan pernikahanmu?
Apa yang akan terjadi jika manusia bukan spesies dominan di bumi?,"Jika manusia bukan spesies dominan di Bumi, spesies mana yang akan mengambil tempat kita?"
Bagaimana Anda mengembangkan hubungan yang bermakna dalam hidup?,Bagaimana saya memiliki hubungan yang bermakna dengan orang-orang?
Apa yang akan menjadi dampak dari Quora yang diretas dan semua identitas anonim terbuka?,Apa yang akan terjadi jika fitur anonim di Quora dihapus dan semua identitas terungkap?
Apa cara terbaik untuk mengunduh seluruh daftar putar dari YouTube pada Windows?,Apakah ada cara untuk mengunduh daftar putar YouTube?
Apa cara tercepat untuk mencairkan ayam?,Apa cara terbaik untuk mencairkan ayam?
Seperti apa karier seperti pilot maskapai?,Bagaimana rasanya menjadi pilot maskapai?
Bagaimana perasaan Anda ketika berhubungan seks untuk pertama kalinya?,Apa perasaan untuk melakukan hubungan seksual pada saat pertama?
Siapa orang-orang terpintar yang hidup sekarang?,Siapa orang-orang terpintar yang hidup hari ini?
Cara terbaik untuk belajar bahasa C?,Bagaimana kita bisa belajar pemrograman C?
Apakah efek Mandela nyata?,adalah efek Mandela nyata?
Mengapa begitu banyak orang tidak bahagia?,Mengapa orang tidak senang?
Akankah Pajak Barang dan Jasa Usulan (GST) meningkatkan ekonomi India?,Mengapa pajak barang dan jasa (GST) baik untuk India?
Bisakah kita benar-benar dapat mengontrol gravitasi?,Apakah kita akan bisa mengendalikan gravitasi?
"Siapa yang akan lebih baik untuk India, Donald Trump atau Hillary Clinton?","Siapa yang baik untuk India, Trump atau Clinton?"
Bagaimana cara memposting video di Quora?,Bisakah saya memposting video di Quora?
Benarkah setiap anjing memiliki hari?,"Setiap anjing memiliki satu hari, itu benar atau salah?"
Bagaimana saya bisa meningkatkan keterampilan komunikasi saya?,Bagaimana saya bisa meningkatkan keterampilan komunikasi saya?
Bagaimana saya menemukan cinta sejati?,Bagaimana Anda dapat menemukan cinta sejati?
Bagaimana cara menghapus pertanyaan dari Quora?,Bagaimana cara menghapus pertanyaan saya dari Quora?
Apa film Bollywood terbaik 2016?,Apa film Bollywood favorit Anda di tahun 2016?
Mengapa arnab goswami kali sekarang begitu menjengkelkan dan bias pada pertunjukan perdebatan?,Mengapa kadang-kadang Arnab Goswami tampaknya tidak sopan dalam pertunjukan perdebatannya di Times Now Saluran Berita?
Spesialisasi MBA mana yang lebih baik?,Spesialisasi MBA mana yang terbaik?
"Bagaimana komunitas Intelijen AS dapat berdamai dengan Donald Trump, sehingga mereka dapat bekerja sama?","Bagaimana Donald Trump berdamai dengan komunitas Intelijen AS, sehingga mereka dapat bekerja sama?"
Apakah mungkin sama sekali untuk mengembangkan kepercayaan diri dan harga diri?,Bagaimana saya mengembangkan kepercayaan diri?
Tempat apa yang harus saya kunjungi selama kunjungan saya ke Kerala selama Juli?,Apa saja tempat untuk dikunjungi di Kerala selama September lalu dan 1 Oktober?
Apa yang dilakukan Dhoni turun sebagai kapten ODI dan T20 dengan tenang?,Mengapa Ms Dhoni keluar dari kapten ODI dan T20?
Apa yang harus Anda lakukan jika Anda ingin kehilangan banyak berat?,Bagaimana saya bisa menurunkan berat badan secara efisien?
Apakah China memiliki kita?,Apakah secara teknis Cina memiliki uang Amerika?
Apa alasan buruknya kinerja India di Olimpiade?,Apa alasan di balik kinerja buruk India di Olimpiade?
Berinvestasi: Apakah default Yunani akan menjadi setara Sovereign dari Lehman Brothers?,Apakah default Yunani akan menjadi setara dengan Sovereign dari Lehman Brothers?
Apa cara terbaik untuk menginvestasikan uang?,yang merupakan cara terbaik untuk menginvestasikan uang?
Mengapa atlet yang memenangkan pose medali menggigitnya?,Mengapa Olimpiade menggigit medali setelah mereka memenangkannya?
Apa tujuan besar kehidupan?,Apa yang harus tujuan hidup Anda?
Bagaimana saya bisa berhenti masturbasi?,Bagaimana satu-berhenti masturbasi?
Apa yang sedang terjadi?,Apa yang terjadi?
Bagaimana cara meretas wifi?,Bagaimana saya bisa memecahkan kata sandi router WiFi? Bagaimana saya bisa meretas wifi ibuku?
Mengapa Big Bang terjadi?,Big Bang: Mengapa Big Bang terjadi?
Bagaimana saya mengikuti impian saya secara konsisten?,Bagaimana Anda mengikuti impian Anda?
Bagaimana cara mendapatkan penerimaan di MIT?,Apa yang harus saya lakukan untuk bergabung dengan MIT?
Apakah Weed menyebabkan kanker?,"Apakah orang, yang merokok gulma kanker?"
Apa pendapat Anda tentang film fantastis film dan di mana menemukannya? Bagaimana itu menarik bagi Anda?,Apa yang Anda pikirkan tentang binatang fantastis dan di mana menemukan mereka film?
Berapa banyak uang hitam yang dipulihkan setelah 500 dan 1000 rupee dicekal?,Berapa banyak uang hitam yang dipulihkan hingga sekarang setelah demonetisasi?
Mana yang merupakan perangkat lunak keamanan terbaik untuk smartphone dan tablet?,Aplikasi mana yang terbaik untuk perlindungan keamanan smartphone?
Mengapa saya merasa kesepian bahkan ketika saya ada di sekitar banyak?,Kenapa aku merasa kesepian ketika aku ada di sekitar orang?
Bahasa pemrograman apa yang terbaik untuk dipelajari?,Apa bahasa pemrograman terbaik untuk pemula dan mengapa?
